Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.001431415,0.002055556,0.006354585,0.025187933,0.037485109,0.099228942,0.147758,0.305565,4.99971,,,8.03038,11.9922,14.54,17.08,27.4,46.0,50.0,54.2,73.0,75.0,77.0,78.2,79.0,79.8,81.1,84.6,86.0,88.0,
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.000803592,0.007979439,0.015842776,0.039204469,0.0772484,0.106001,0.118228,0.201273,0.34906,0.542143,0.657593,0.7,0.81,0.9,1.0,1.11,1.22,1.26422,1.04239,2.0,2.2,2.66075,4.0,6.1,9.17302,10.1846,11.275,
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.00100674,0.020072645,0.100041027,0.199446059,0.69599469,0.99166299,2.968411647,4.93808091,7.886622701,13.77221446,29.4317,31.2884,46.33,49.97,53.86,55.82,61.9819,66.7604,68.8573,74.5441,77.6398,81.61,80.72,82.1702,85.0012,85.0529,86.5165,87.6797,88.6473,90.2754,91.5264,92.7887,94.0078,94.6263
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0016931,0.024648796,0.047877304,0.154906741,0.225248,0.363418,0.702946,0.951327,1.18254,1.27103,1.53785,1.79,1.85,2.24,3.13,4.14832,4.5,4.9,6.0,11.255,14.5,18.7,19.0,20.5,22.1206,30.7419,33.7602,
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.000960519,0.018686353,0.045423484,0.061780293,0.0770802,0.157732,0.200993,0.37344,0.400295,0.469914,0.632708,0.75,0.92,1.13,2.4,3.0,3.72503,5.0,6.0,6.55,7.14,7.79,8.5,9.27181,15.5971,18.114,19.9237,
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,,0.000751046,0.003684813,0.036170407,0.0710394,0.129808,0.13992,0.163878,0.199036,0.241637,1.0,1.8,2.5,3.1,3.7,4.5,5.0,6.63,11.9,12.9,18.1,21.5,25.6,30.4,36.1091,38.9174,41.6152,44.5027
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.002339042,0.019526669,0.119665549,0.725251167,1.219813132,1.844965121,2.908154025,5.37092,7.6123,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45.0,46.23,47.98,51.9,53.0615,55.4904,56.6563,59.8255,63.4101,64.782,67.947,70.1625,75.2714,79.1269,80.3896
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.346205844,0.843254219,1.646299202,3.218202151,4.720358118,6.15373,15.0386,18.0507,21.5549,21.4587,21.3037,28.244,32.91,51.95,53.0,55.0,77.0,88.0,90.0,90.5031,93.4783,98.0,95.8781,98.6447,99.7015,99.671,100.0,100.0,100.0
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8.0,11.8,18.0,20.0,22.0,25.0,26.0,27.0,31.54,33.88,43.0,65.0,71.7482,72.0,76.92,78.0,80.0,80.6,83.0,90.6933,92.4437,93.7667,94.4117,
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.015125563,0.059425563,0.14367106,0.1943742,1.08296,1.20053,2.64827,3.96504,15.469,21.3267,25.1224,27.92,34.66,37.74,42.75,43.8877,45.0645,48.5213,49.9177,52.6,60.2565,64.892,70.1201,69.9463,73.2118,75.6762,78.8455,83.3772
